#Clade_name	CSM-7CZ2F	CSM5FZ3N	CSM5FZ3R	CSM5FZ3T	CSM5FZ3V	CSM5FZ3X	CSM5FZ3Z	CSM5FZ42	CSM5FZ44	CSM5FZ46	CSM5FZ4A	CSM5FZ4C	CSM5FZ4E	CSM5FZ4G	CSM5FZ4K	CSM5LLGB	CSM5MCTZ	CSM5MCU4	CSM5MCU8	CSM5MCUA	CSM5MCUC	CSM5MCUE	CSM5MCUG	CSM5MCUK	CSM5MCUQ	CSM5MCUS	CSM5MCUW	CSM5MCUY	CSM5MCV1	CSM5MCV5	CSM5MCVB	CSM5MCVD	CSM5MCVF	CSM5MCVJ	CSM5MCVV	CSM5MCVZ	CSM5MCW4	CSM5MCWA	CSM5MCWI	CSM5MCWK	CSM5MCWM	CSM5MCWS	CSM5MCXB	CSM5MCXF	CSM5MCXX	CSM5MCXZ	CSM5MCYI	CSM5MCYM	CSM5MCYO	CSM5MCYQ	CSM5MCYU	CSM5YRY7	CSM67U9H	CSM67U9P	CSM67U9R	CSM67U9T	CSM67U9V	CSM67U9X	CSM67UAI	CSM67UB5	CSM67UB7	CSM67UB9	CSM67UCU	CSM67UEP	CSM67UET	CSM67UEW	CSM67UF1	CSM67UH3	CSM6J2H9	CSM79HG7	CSM79HGD	CSM79HGF	CSM79HGH	CSM79HGJ	CSM79HGL	CSM79HGN	CSM79HGR	CSM79HGV	CSM79HH2	CSM79HHW	CSM79HJ2	CSM79HJ4	CSM79HJ6	CSM79HJ8	CSM79HJC	CSM79HJI	CSM79HLY	CSM79HM5	CSM79HM9	CSM79HNG	CSM79HNY	CSM79HPM	CSM79HPQ	CSM79HQR	CSM79HQT	CSM7KOKH	CSM7KOKL	CSM7KOKP	CSM7KOMR	CSM7KOMV	CSM7KONS	CSM7KONW	CSM7KONY	CSM7KOQ5	CSM7KOQP	CSM7KOQZ	CSM7KOR4	CSM7KOR8	CSM7KOU7	CSM7KOUJ	ESM5GEYU	ESM5GEYW	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5GEZ4	ESM5GEZ6	ESM5GEZA	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEA7	ESM5MEA9	ESM5MEAB	ESM5MEB9	ESM5MEBA	ESM5MEBP	ESM5MEC7	ESM5MEDP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM5MEEJ	ESM718U9	ESM7F5AE	HSM5FZBP	HSM5FZBQ	HSM5FZBR	HSM5FZC2	HSM5MD3L	HSM5MD43	HSM5MD44	HSM5MD47	HSM5MD49	HSM5MD4A	HSM5MD4B	HSM5MD4P	HSM5MD4U	HSM5MD4W	HSM5MD57	HSM5MD59	HSM5MD5B	HSM5MD5D	HSM5MD5F	HSM5MD5H	HSM5MD5K	HSM5MD5X	HSM5MD5Z	HSM5MD6E	HSM5MD6G	HSM5MD6I	HSM5MD6K	HSM5MD6O	HSM5MD6S	HSM5MD6U	HSM5MD7W	HSM5MD7Z	HSM5MD82	HSM5MD87	HSM5MD8A	HSM5MD8B	HSM5MD8D	HSM5MD8F	HSM5MD8H	HSM5MD8J	HSM5MD8L	HSM5MD8N	HSM5MD8P	HSM5MEE5	HSM67VCX	HSM67VDR	HSM67VDT	HSM67VDX	HSM67VFX	HSM67VG2	HSM67VG6	HSM67VGA	HSM67VGE	HSM67VGI	HSM67VIJ	HSM6XRQB	HSM6XRQC	HSM6XRQE	HSM6XRSX	HSM6XRSZ	HSM6XRT2	HSM6XRT4	HSM6XRT6	HSM6XRTA	HSM6XRTC	HSM6XRTE	HSM6XRTG	HSM7CYWS	HSM7CYYR	HSM7CYYV	HSM7CYYZ	HSM7CZ1T	HSM7CZ2J	HSM7CZ2L	HSM7CZ2V	HSM7CZ2X	HSM7J4JT	HSM7J4JV	HSM7J4JW	HSM7J4Q3	HSMA33J1	HSMA33NG	HSMA33P2	MSM5FZ9N	MSM5FZ9Q	MSM5FZ9V	MSM5FZ9X	MSM5FZA2	MSM5LLD6	MSM5LLE3	MSM5LLE9	MSM5LLF2	MSM5LLFG	MSM5LLFK	MSM5LLFM	MSM5LLFO	MSM5LLFU	MSM5LLGD	MSM5LLGF	MSM5LLGH	MSM5LLGJ	MSM5LLGN	MSM5LLGR	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHE	MSM5LLHG	MSM5LLHI	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHV	MSM5LLHX	MSM5LLI2	MSM5LLI4	MSM5LLI6	MSM5LLI8	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLII	MSM5LLIK	MSM5LLIM	MSM5LLIQ	MSM5LLIS	MSM5ZOJY	MSM633FF	MSM6J2JF	MSM6J2JH	MSM6J2M3	MSM6J2N6	MSM6J2PQ	MSM6J2RG	MSM79H52	MSM79H8J	MSM79H94	MSM79H9U	MSM79HBX	MSM79HCN	MSM79HD6	MSM79HD8	MSM79HF1	MSM9VZFJ	MSM9VZJF	MSM9VZJJ	MSM9VZLX	MSM9VZM4	MSM9VZMQ	MSM9VZN4	MSM9VZNV	PSM6XBQM	PSM6XBRK	PSM6XBRM	PSM6XBS2	PSM6XBS4	PSM6XBS6	PSM6XBSC	PSM6XBSE	PSM6XBSG	PSM6XBTF	PSM6XBTH	PSM6XBTJ	PSM6XBTN	PSM6XBTZ	PSM6XBVY	PSM6XBW1	PSM7J13U	PSM7J13Y	PSM7J143	PSM7J149	PSM7J19X	PSM7J1B3	PSM7J1BN	PSM7J1C2	PSM7J1CK	PSM7J1CO	PSM7J1CS	PSMA2651
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomycetaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00813	0	0	0.00502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0.06936	0	0	0	0	0.03979	0.01899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09259	0	0	0	0	0	0.01998	0	0	0	0	0	0	0	0	0	0	0	0	0.00877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06479	0	0	0	0	0	0	0	0	0.04375	0	0	0	0	0	0	0	0	0.02801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8158	0	0	0	0	0	0	0	0	0	0	0.01908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00684	0.02022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	83.11281	79.58637	87.77123	88.95337	90.44937	87.8381	82.73573	67.21683	72.85218	91.07539	90.81341	83.37814	82.37565	64.37351	68.39415	14.19044	72.00359	85.52402	45.73129	85.44479	77.35793	60.94194	70.3873	67.91067	44.89329	45.56902	65.7362	59.01821	72.04371	73.81972	79.41613	84.11027	85.28775	86.102	67.59148	93.21709	93.33697	6.6874	91.48251	80.34488	82.44344	0	38.11511	58.47139	72.27009	66.69855	47.71549	42.01803	43.30787	36.16286	46.27553	92.95796	68.6569	65.58917	88.60942	88.16503	86.76633	74.07344	0	84.12422	85.07046	87.7754	90.23256	33.95522	35.33884	12.01707	29.72952	71.66053	62.4938	70.86101	60.78825	54.24867	66.44461	88.90277	74.7454	90.67932	70.80051	64.44957	53.04366	64.47312	73.94784	90.24306	53.88946	67.09072	57.24541	56.42083	89.66609	62.64071	54.24859	70.65502	66.413	71.1626	74.30664	17.66624	24.31027	88.5316	78.42728	79.53122	23.52294	48.36184	85.93217	54.23985	97.65225	25.65381	0	78.51404	83.34835	83.46935	88.01383	92.34726	49.99883	34.92903	51.94623	74.40161	56.88873	53.74054	68.7206	42.71436	68.23966	69.15005	64.47401	49.861	33.71996	71.81653	64.07839	61.1665	71.28276	36.11193	73.91582	85.97175	71.95331	45.15591	27.57349	62.59763	43.78121	80.80635	89.54733	81.52214	94.20303	89.82496	42.54407	72.6822	1.33698	19.03354	43.30978	19.65333	46.48173	69.73254	80.70466	90.37062	55.2915	53.60859	54.7888	50.57989	15.29924	87.2783	93.41708	45.38936	96.39368	75.9541	100.0	79.06684	72.06597	91.14143	62.06228	75.74693	91.57513	86.08854	50.60665	53.19332	42.80532	61.48723	67.99915	62.28062	49.72752	79.12482	74.81237	67.37976	77.2986	79.20207	92.33213	79.67996	88.4994	44.19752	36.99029	86.27228	63.70581	73.8742	29.00926	76.16943	71.15512	46.41226	65.03671	74.2122	38.37405	69.77034	73.44064	67.19611	20.46265	39.17872	53.16155	49.81927	71.89515	70.91092	91.1919	60.77538	50.43662	86.21914	77.02158	53.40046	89.38321	44.83531	72.49925	85.92572	58.41735	56.99147	48.5214	92.84136	47.03537	3.86197	6.45339	42.43266	14.38287	28.04219	70.57989	1.09713	0.91799	8.3509	64.10797	71.36817	72.70676	82.09586	78.16476	65.73799	61.63512	60.93359	31.87053	88.83564	68.05615	54.92999	83.7784	88.68904	81.2566	63.55529	85.4632	87.87667	79.8173	82.27151	75.17446	65.62039	61.67098	87.10235	62.3995	88.92942	89.79288	59.54129	67.09534	66.35671	87.81196	83.08837	68.66937	76.72313	85.52629	2.73762	0.47068	44.99944	68.69241	32.74199	78.57438	21.97864	53.06896	40.43378	65.72527	96.21072	78.60946	78.60483	63.4122	83.64407	15.51275	29.95573	86.10364	19.03784	74.76031	78.96255	78.58294	84.18911	75.80315	62.49018	63.23712	81.76663	85.46008	55.92021	19.00539	69.46471	64.96599	40.00093	74.8474	66.01875	71.37093	24.40339	65.27919	85.60532	66.80981	76.63774	89.49193	84.06155	86.63081	73.79403	47.07429	29.80273	4.63557	97.05738	72.6702	93.46682	72.87211	77.17987
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola|t__GCF_000154845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02527	0.07995	0	1.02144	0	0.54238	0.11012	1.60265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51406	1.03657	1.15194	0.92637	1.38552	1.27199	0	0.02435	0.0221	0	0	0	0	0	0.03713	0.00593	0	0	0.39735	0	0	1.61613	0.72105	0	0	0.00637	0	0	0	0	1.65115	0.23139	0.73777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44924	0	0	0.02705	0	0	0	0	0	0	0.35992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13757	0	0	0	0	0	0	0.04367	0	2.13104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56789	0	0	0	0	0	0	0	9.33141	0.05947	16.34665	0	9.95714	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92636	0	0	0	0	0	0	0	0	0	0	0	28.03919	0	0	0	0	0.01072	0	0	0	0	0.62682	0	0	0	0	0	0	0.02582	0	0	0	0	0	0.15859	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_20_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80701	0	0	0	1.90104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__PhiCD119likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00428	0	0	0.01118	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345	0.38449	0.03471	0.01583	0	0.02676	0	0	0	0	0	0.04262	0.13126	0	0.04031	0.24152	0	0	0	0.26971	0.0218	0.83842	0.07825	0	0	0.18598	0.0004	0.051	0.00765	0	0	0	0.0195	0.37544	0	0.34319	0	0	0.02768	0.01863	0.01853	0.00998	0	0.12604	0	0.04476	0	0	0.03578	0.12687	0	0.48354	0.00384	0.06324	0.14641	0.35228	2.29051	0	0.07184	0	0.00396	0	0.173	0	0	0	0	0	0	0.35497	0	1.70131	1.53232	1.22082	0.54298	0	0.04033	0	0.0113	0.15497	0	0	0	0	0.18252	0.00914	0.3464	0	0	0.0114	0.11141	0.02151	0	0.53218	0	0	0	0	0.13179	0	0	0.00888	1.97165	0.00777	0	0	0.00241	0.01197	0.03868	0.01919	0	0.35333	0.20829	0.13157	0	0.07029	0.26152	0.30111	0.46302	0.01511	0	0	0.06742	0	0	0	0.09333	0	0	0.02349	0.02956	0	0	0	0.04457	0	0.93799	0	0	0	0	0.21447	0	0	0	0.44069	0.02417	0	0	0	0	1.75375	0.07726	0.12499	3.31683	0.40737	0	0	0.00829	0	0.42204	0	0.1957	0.13639	0.04599	0.57087	0.25209	0	0	2.85912	0.01316	1.00014	0.44773	0.17487	3.95502	0.16465	0.03169	0.15952	0.86586	2.75594	0	0	0.00522	0.17274	0.67084	0.71573	0.02463	0.61747	0.9469	0.07487	1.21317	0.22743	0	0	0	0.26359	0.12747	0.22255	0.03638	0.64511	2.29485	0.06875	5.8352	0.88591	0.01936	0.01368	0.40814	1.7428	0.05286	0.61502	0.17754	0.00113	0	0	0	0.00231	0	0.02127	0	0.03741	0	0.04909	0	0	0	0	0	0	0	0.08926	0	0	0	0	0	0	0	0	0.01431	0.41265	0	0.00347	0	0	0	0	0	0.01074	0	0.16814	2.00712	0.02544	0	0	0.07107	0.00588	0	0	0	0	0.85301	0.00541	0	0	0	0	0.20014	0.00187	0.00969	0	0.22659	0	0.50498	0.0509	0	0	0	0	0	0.07826	0.12119	0.00782	0	0.20365	0	0	0	0	0	0.00552	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0672	0.84388	0	0	0	0	0	0.01888	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme|t__Clostridium_clostridioforme_unclassified	0	3.09397	2.01164	0	0.22372	0	0	0	0	0	0.00183	0.09187	0.06342	0.04059	0.05461	0.16734	0	0	0	0.00979	0	0.01552	0	0	0.09557	0.00175	0.06691	0.0104	0.00777	0	0	1.14155	0.48549	0	6.82353	0	0	0	1.01587	0	0	0	0.02512	0	0	0	0	0.01171	0	0.00538	0	1.77589	0.00146	0	0	0	0	0	12.92424	0	0	0	0	0	0	0.00446	0.01269	0	0	0	0.00611	0.02477	0.00236	0	0	0	0	0	0.53398	0.07254	0	0.02866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02712	0	0.01137	0	0	0	0	0	0	0	0	0	0	0	0.02851	0	0	0	0.00499	0	0	0.38644	0	0	0	0	0.21432	0	0.13786	0	0	0	0	0	0	0	0	0	0	0	0.01913	0	0.00832	0.08126	0	0	0	0	0	0	0	0	1.93153	0.88497	0	0	0	0	0	0.03255	0	0.0509	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00967	0	0.00595	0	0	0	0	0	0	0.00711	0	0	0	0	0	0	0.00362	0.11874	0	0	0.13413	0	0	0	0	0	0.00343	0	0	0	0.00354	0	0	0	0	0	0	0	0	0	0.22924	0.0024	0	0	0	0	0.01641	0.00459	0.88465	1.76693	0.22512	1.75663	2.7306	0	3.36664	2.21484	0	0.0752	0	0	0	0	0.06294	0.03959	0.11512	0.00478	0.00447	0.01993	0.0736	0	0	0	0	0	0	0	0	0.12406	0.00286	0	0	0	0	0	0	0	0	0	0.08231	0.01318	0	0	0.80017	0.21193	0.01927	0	0	0	0	0.15881	0	0	0.03945	0	0	0	0	0	0	0	0	0.29871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01875	0	0.16773	0.0462	0.0153	0	7.18155	0	0	0	0	0	0.00735	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_amylovorus|t__Lactobacillus_amylovorus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08907	0.12467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
