#Clade_name	CSM5FZ3T	CSM5FZ46	CSM5FZ4C	CSM5FZ4G	CSM5FZ4K	CSM5FZ4O	CSM5LLGB	CSM5MCTZ	CSM5MCU4	CSM5MCU6	CSM5MCU8	CSM5MCUC	CSM5MCUE	CSM5MCUG	CSM5MCUK	CSM5MCUQ	CSM5MCUU	CSM5MCUW	CSM5MCUY	CSM5MCV1	CSM5MCV3	CSM5MCVJ	CSM5MCVV	CSM5MCWI	CSM5MCWM	CSM6J2H9	ESM5GEYU	ESM5GEYW	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEA7	ESM5MEA9	ESM5MEBA	ESM5MEBP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM5MEEB	ESM5MEEJ	ESM5MEET	HSM5FZBP	HSM5FZBQ	HSM5FZBU	HSM5FZC2	HSM5MD47	HSM5MD4A	HSM5MD4B	HSM5MD4S	HSM5MD4U	HSM5MD51	HSM5MD57	HSM5MD59	HSM5MD5K	HSM5MD82	HSM5MD87	HSM5MD8A	HSM5MD8N	HSM5MD8P	HSM5MEE5	MSM5FZ9X	MSM5LLD8	MSM5LLFG	MSM5LLFK	MSM5LLFM	MSM5LLFO	MSM5LLFU	MSM5LLGD	MSM5LLGH	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHE	MSM5LLHG	MSM5LLHI	MSM5LLHM	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHV	MSM5LLHX	MSM5LLI6	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLIK	MSM5LLIQ	MSM5LLIS	MSM5ZOJY
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bunyaviridae|g__Tospovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0	0	0	0	0.05373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01543	1.41975	0	0	0	0	0.27132	0	0	0	0	0	0	0	0	0	0	0.10489	0.04072	0.97649	0.00282	0	0	0	3.25489	3.16985	3.60996	0	0	0	0	1.66245	0.5464	0	0	0.01359	0	0	1.40138	0.10617	0	0	0	0	0.01697	0	0.45612	0	0.23732	6.59917	3.82734	0	0	0.01376	0	0	0	0	0.03488	0	0.00186	0	0	0	0.00437	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28373	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0	0	0	0	0.45228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04764	0	0	0	0	0	0	3.31944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10077	0.37626	0	0	0	0	0.27124	0	0	0	0.27786	0.02175	0.09776	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	2.91043	2.9824	0	0	0	0	0	0	6.14855	2.84293	0.01324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54217	0.49518	0	0	0	0	0	1.4022	0	0.01928	0	18.36894	1.94523	0.42394	0	0	0	0	0	0	0	0	1.47677	0.01772	0.03851	0.38544	0	0	0	0	0	1.24889	0	0	0.24616	0	0	0	0	0	0.00017
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified	0	0	0	0.06818	0	0	0	0.00758	0	0.29666	0.06184	0	0	0.09702	0	0	2.27833	1.85117	0.84868	0	0	0	0.26218	0	0	0.01263	0	0	0	0	0	0	0	0.32073	0	0	0	0	0.25588	0.36393	0.20595	0	0.75669	0	0	0	0	0.01404	0	0.0293	0	0	0	0	0	0.0243	0	0	0.29838	0	0	0.0091	0	0	0	1.81229	0	0	0	0.36456	0	0	0	0.00018	0.35404	0	0	0.01845	0	0	0	0	0	0	0.34557	0.00857	0.26639	0.02217	0	0.0988	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02596	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02559	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified	0	0	0	0.01311	0	0	0	0	0	0	0	0	0	0	0	0	0.33758	0	0	0	0	0	7.84373	0	0	0	0.02108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05029	0	0	0	0	0	0	0	0	0	1.61221	0	0	0	0	0	0	0	0	0	0	0.04779	1.48317	0	0	0	0	0	0	0	0	0	0	0	0	0	8.59146	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus|s__Human_adenovirus_D|t__Human_adenovirus_D_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0	0	0	0	0	2.79276	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5368	0	0.41785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00639	0	0	0	0	0	0	0.03388	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0	0	0	0.00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0.20829	0	0	0	0	0	0	0.00282	7.78395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00784	1.72515	0	0	0	0	0	0.05585	0	0	0	0.18096	0.63835	0.15531	0.31357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.83801	0	0	0	0	0	0	0	0	0	0.27035	0	0.46305	0	0	0	0	0	0	0.05988	0	0	0	0	0	0	0	0.05013	0.55477	0.02989	0.12241	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0	4.37955	1.07669	0.0017	0.09669	0.18962	0.00469	0	0.26717	0	1.09386	0	0	0.05018	0	0.25824	0.22096	1.16385	0	0	0	0	0	0	0	0.20204	0.49832	0.02977	0	0	0.08768	0.02886	0	0	0	0	0.08225	0.04623	0	0.05785	0.04938	0	0.08436	0	0.34352	0.01539	0.12576	0.05665	0	0	4.0941	1.16835	4.10589	0.08626	0	0	0	0	0	0	0	0.0969	0	0.3876	0	1.84968	0	0	0	0.05984	0	0	0	0.00657	0	0	0	0.24173	0	0	0	0.01034	0.86027	0	0.01457	0	0.35838	0.08967	0.03219	0	0	0	0.03944
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii|t__GCF_000209875	0	0	0	0.07222	0	0	0	0	0	0	0	0	2.19642	0	0	0	6.9219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00597	0	0	0	0	0	0	0	0	0	0	0.01165	0	0	0.26629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13624	0	0	0.75221	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	4.64576	0	0	0.30785	0	0	0	0	0	0	0	20.22757	0	0	0	0.02055	0	0	0	0.00938	0	0	0	0.00098	0	0	0.03401	1.48234	0	0	0	0	0.00493	0	0	0	0	0	0	0	0	0	0	10.44496	5.72218	0	0	0	0	20.8065	0	0	19.43452	0	0	0	0	0	0	0	28.76481	0	10.7769	0	0	0	0	0	0	0	0	0.02073	3.60807	0.01586	42.15303	0	0	0.08675	0	0.00349	0	0	0.23783	0	0	0	0	0	0	0	24.04265	0.00168
k__Viruses|p__Viruses_noname	13.41541	44.33914	74.93099	98.23478	59.50954	80.73334	99.81998	99.30152	11.55203	9.56142	52.78346	99.43294	0	67.61393	60.67284	66.66698	3.06261	12.4078	5.40204	0.07852	10.26247	22.10309	0.86716	95.4641	84.8654	97.68444	60.34644	98.67541	0.9943	16.17607	27.60976	6.66458	80.03106	23.1901	76.38636	33.8704	93.91846	9.70351	1.76932	8.3637	40.30887	24.93871	3.71679	98.98093	1.07914	0.11414	3.59037	98.7701	34.13407	44.38013	30.54501	12.82177	9.16941	1.71094	90.80563	66.17314	0	84.13282	3.1781	0	61.49129	0	41.52054	9.04139	10.43319	20.33743	77.00528	70.83039	35.8646	0	0.80494	86.59101	99.85046	81.00222	6.83919	0	2.48852	70.42806	97.5578	57.1	92.12471	47.27713	0	14.42796	9.06316	46.21558	25.3415	3.26455	61.5616	73.30448	6.21498	4.66698	99.4206
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01252	0	0	0	0	0	0.01414	0	0	0	0	0.00313
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.30938	2.84468	0.10366	0.13897	5.02168	0	0.00641	0.02755	3.60529	5.85216	2.37478	0	3.216	9.47767	14.68539	0.55136	6.20356	0.96156	3.35326	31.0172	4.16608	53.68043	2.31445	3.98234	0.22361	0.18225	0.30789	0.31501	30.14853	0	0.55241	6.31203	1.65144	0.71964	0.13619	25.1786	0.788	6.92637	6.08126	3.25876	2.03877	1.03852	0.54743	0	15.75445	7.08712	5.73512	0.32369	0	0.99228	13.74019	47.28324	25.14054	2.51342	0.6428	0	0	0	4.89894	0.03658	0.48054	5.40125	0	16.49066	3.01998	7.67335	4.64244	25.29911	28.62658	35.49027	52.46059	0.79917	0.00689	2.78509	0.54373	6.18625	0.61871	0.59565	0.02367	4.25553	3.23548	4.7198	2.77271	0.44699	0.51086	0.07999	1.2471	11.49953	0.75493	1.10653	36.35805	13.66001	0.20753
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__Clostridium_bolteae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023	0	0	0.01605	0	0	0	0	0	0	0	0	0	0.02303	0.21135	0.55699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	2.41807	0	0	0.05569	0	0	0	0	0	0	0	0	0	0	0	0.00581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18573	0	0	0	0	0	0	0	0	0	0	0	0.06507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Pospiviroidae|g__Hostuviroid|s__Hop_stunt_viroid|t__PRJNA14720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0	1.16915	6.78557	0.1636	0.07173	0.5519	0	0.01663	1.60214	8.48627	0.987	0.01022	0.82914	0.06803	0	0.60301	8.4992	10.83578	0.25985	1.36966	2.35204	0	0.54967	0	0.10967	0.14588	1.25531	0	0	0	0.54601	0.80545	0.14429	2.79136	0	0	0	0.83376	0	0	0	0	0.91944	0	0.07098	0.32696	5.44789	0.08068	0	0	0.45118	24.13255	52.40014	1.00824	0.1322	0.43163	0	0.73085	7.11402	0	0	0.5048	0	0	0	6.27108	2.38422	0.55003	9.22143	0.93745	0	0.82153	1e-05	0.15195	3.27618	0	1.42456	0.18894	0.00478	0	0	0.57422	1.56226	10.29275	0	0	0.85122	1.41315	1.14255	0.8184	0	0.39562	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Endornaviridae|g__Endornavirus|s__Oryza_sativa_endornavirus	2.03044	0	1.1469	0	0	0	0	0	0.18732	0	0	0	0	0	0	0	0	0	0	0.07852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58029	0	0	0	0	0	0	0	0.33427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.72114	0	0	0	0	0	0.04704	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0	4.64576	0	0	0.30785	0	0	0.07288	0	0	0	0	20.22757	0.97011	0	0	0.02055	0	0	0	0.00938	0	0	0	0.00098	0.21877	0	0.03401	1.48234	0	0	0	0	0.00493	0	0	0	0	0	0	0	0	0	0	10.44496	5.72218	0	0	0	0	20.8065	0	0	19.43452	0	0	0	0	0	0	0	28.76481	0	10.7769	0	11.01254	0	0	0	0	0	0	0.02073	3.60807	0.01586	42.15303	0	0	0.08675	0	0.00349	0	0	0.23783	0	0	0	0	0	0	0	24.04265	0.00168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA|t__GCF_000185545	0	0	0	0	0	0	0	0	0	0	0.25812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Papaya_ringspot_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.40204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viroids|p__Viroids_noname|c__Viroids_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_scindens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__Bacteroides_stercoris_unclassified	0	0.05545	0	0.00095	0	1.57268	0	0.13387	0	2.63026	1.47625	5e-05	0	4.78131	0	0.59178	0	0.3917	0.0282	0	0	3.5459	1.21194	0	0.79697	0.01944	0	0.00477	0	0	0	4.28429	0.05097	7.38317	0	0	0	0	0	0	0	0	0	0	0	0	0.00394	0	0	4.37794	6.17051	0	0	6.29437	0.41518	0.63149	0	0.0279	0.45496	0	0	0.04304	0	0	0	0.80292	0.00213	0	0.00846	5.80759	0	0	0	0.0029	4.26624	0.82045	0.32611	0.18874	0	5.87507	0	0	0	2.74311	12.68777	6.18508	0.65857	0	0	0	0.02763	0.00682	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Luteoviridae|g__Polerovirus|s__Cucurbit_aphid_borne_yellows_virus|t__PRJNA15074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29408
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila|t__GCF_000205165	0	0	0	0	0	0	0	6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae|g__Tombusvirus|s__Tombusvirus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.31889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae|g__Cucumovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.67645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08336	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39038	0	0	0	0	0	0	0.25096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	1.83058	0	0	0	0	0.90043	0	0	0	0	0	0	0	0.96867	0	0	0.83601	0.34117	0	0.78158	2.0424	0	0	0	0	0.06739	1.39936	0	0	0	0	0.09488	4.2727	0.77681	0.8083	0	2.68785	1.26658	3.51699	0.59354	0.02026	0.00321	2.38627	0	0	0.46928	0.0847	0	0	0	0	4.63256	1.30922	0	0	0	0	0	0	0	2.48953	0	0	8.41516	0.44688	0.09441	0.87643	0.69594	0.73497	0.0614	5.37277	0.25915	0.00064	0.32332	0.60712	0	0	0	0	0	1.92484	0	0.49675	0	0.32892	0.5304	0	1.10266	0	0	43.22387	0	0.03089
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0	0	0	0	0	2.79276	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0	0	0	0.03239	0	0	0	0	0	0	0	0	0	0.01382	0	0	1.88444	0	0	0	1.64377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02983	0	0.00352	0	0	0	0	0	0	0.00373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68592	0	0	0	0	0	0.03329	0	0	0.00059	0.00315	0	0	0	0.05103	0	0	0	0	0.07543	0	0	0	0	0.35231	0.09397	0.10016	0	0	0.04162
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus|s__C2likevirus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis|t__GCF_000154565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41975	0	0	0	0	0.27132	0	0	0	0	0	0	0	0	0	0	0.08087	0.04072	0.97649	0.00282	0	0	0	0	0.09555	0	0	0	0	0	0.10789	0.21277	0	0	0	0	0	0	0.10617	0	0	0	0	0.00327	0	0.42128	0	0.23732	0	3.50593	0	0	0	0	0	0	0	0	0	0.00186	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875	0	0	0	0	0	0	0	0.00012	0	0	0	0	0	0.0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14978	0	0	0	0.00961	0
