#Clade_name	CSM5FZ3T	CSM5FZ46	CSM5FZ4C	CSM5FZ4G	CSM5FZ4K	CSM5FZ4O	CSM5LLGB	CSM5MCTZ	CSM5MCU4	CSM5MCU6	CSM5MCU8	CSM5MCUC	CSM5MCUE	CSM5MCUG	CSM5MCUK	CSM5MCUQ	CSM5MCUU	CSM5MCUW	CSM5MCUY	CSM5MCV1	CSM5MCV3	CSM5MCVJ	CSM5MCVV	CSM5MCWI	CSM5MCWM	CSM6J2H9	ESM5GEYU	ESM5GEYW	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEA7	ESM5MEA9	ESM5MEBA	ESM5MEBP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM5MEEB	ESM5MEEJ	ESM5MEET	HSM5FZBP	HSM5FZBQ	HSM5FZBU	HSM5FZC2	HSM5MD47	HSM5MD4A	HSM5MD4B	HSM5MD4S	HSM5MD4U	HSM5MD51	HSM5MD57	HSM5MD59	HSM5MD5K	HSM5MD82	HSM5MD87	HSM5MD8A	HSM5MD8N	HSM5MD8P	HSM5MEE5	MSM5FZ9X	MSM5LLD8	MSM5LLFG	MSM5LLFK	MSM5LLFM	MSM5LLFO	MSM5LLFU	MSM5LLGD	MSM5LLGH	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHE	MSM5LLHG	MSM5LLHI	MSM5LLHM	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHV	MSM5LLHX	MSM5LLI6	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLIK	MSM5LLIQ	MSM5LLIS	MSM5ZOJY
k__Bacteria|p__Firmicutes|c__Negativicutes	0	0	0	0.0175	0.05373	0	0	0	0	0	0	0	2.39642	0	0	0	1.11303	0	0	0	0.01543	1.41975	10.56506	0	0	0	0.29241	0	0	0	0	0	0	0	0	0	0	0.10489	0.04072	0.97649	0.00282	0	0	0	3.25489	3.16985	3.60996	0.07053	0	0	0	1.66245	0.5464	0	0	0.01359	0	2.38333	1.40138	0.10617	0	1.76735	0	0	0.01697	0	0.45612	0	0.28511	8.16999	3.82734	0	0.00181	0.36214	0	0	0	0	0.03488	0	0.00186	0	0	11.97418	0.00437	0	0	0	0	0	0	1.88755	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	2.36313	0	2.18287	0	0.59029	0	0	0.00043	0.12706	0	0	0	0	0.0429	0	0	0	0	0	0	0	0	0	0	0	0	1.73693	0.01283	7.99875	0	0.34684	0.01728	0.02329	0	2.06867	0	0	0.31052	0	0	0	0	0	0.1505	0.21572	0.05954	0.35418	0	0	0.66557	0	0	0	0.15331	0	0	0	0	0	1.19679	0.68153	0	0	0.08081	2.46404	0	0	0	0	0	0	0	0.00019	0.01651	0	0	0	0	0.02227	0.00979	0	0	0	0	1.15093	1.60892	0	0.15395	0.00314	0.09846	0	0.56747	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	2.41807	0	0	0.05569	0	0	0	0	0	0	0	0	0	0	0	0.00642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18573	0	0	0	0	0	0	0	0	0	0	0	0.06507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0	0	0	0.0033	0.15537	0.4701	0	0.00033	0.78688	0.05885	0.18174	0	0	0	0	0	0.46036	0	0.15689	0	0	0	0.43317	0	0	0.02603	0	0	0	0	0	0.02153	0	0.08589	0	0	0	0	0.22357	0	0.03981	0.0275	0	0	0.1664	0.00266	1.76608	0.00017	0	0	0	0	0	3.41457	0.04822	0	0	0.08267	0.14539	0	0	0	0	0	0	0.31741	0	0	0	0	0	0.70087	0	0	0.09982	0	1.37086	0.4951	0.0233	0	0	0	0.85525	1.38161	0.20499	0.54265	1.10302	0.06454	0.09776	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975	0	0	0	0.03239	0	0	0	0	0	0	0	0	0	0.01382	0	0	1.88444	0	0	0	1.64377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02983	0	0.00352	0	0	0	0	0	0	0.00373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68592	0	0	0	0	0	0.03329	0	0	0.00059	0.00315	0	0	0	0.05103	0	0	0	0	0.07543	0	0	0	0	0.35231	0.09397	0.10016	0	0	0.04162
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Alpharetrovirus|s__Fujinami_sarcoma_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Secoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0	0	0	0.00021	0.18743	0	0.00072	0	0	0	0.00288	0	0	0.05709	0	0	0.44446	0	0	0	1.63499	0.80755	0	0	0	0	0	0	0	0	0	0.01436	0	0	0	0	0	0	0.09183	0.1076	0.00428	0	0	0	0	0	0.02847	0.06207	0	0	0	0	0	0	0	0.00637	0	0	0.03549	0	0	0.17588	0	0	0	0	0.0062	0	0	0.62735	0.01334	0.3195	6e-05	0.0309	0	0.14494	0	0.02187	0.00812	0	0	0.21236	0.00894	0	0.03894	0.00127	0	0.26105	0.02456	0	0	0.15636	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5368	0	0.41785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00639	0	0	0	0	0	0	0.03388	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04637	0	0	0	0	0.00027	0	0	0	0.28402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01432	0	0	0	0	0.33591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01466	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Epsilon15likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus|s__Pepper_mild_mottle_virus	0	35.31313	56.83698	0	24.30843	61.96948	0.46091	0.07502	6.86167	0	39.59838	0	0	65.4587	26.35395	34.81168	3.06261	0	0	0	0	0	0	79.10969	12.07024	79.13278	40.97104	0	0	0	26.1725	0	73.50608	11.02719	0.74027	0	48.38041	9.62149	0	1.14153	0.56397	12.758	3.71679	0	0	0	0	96.08432	34.13407	14.2082	14.26813	0	0	0.56736	87.65029	65.70842	0	83.60824	3.1781	0	0	0	0	0	1.16602	10.55743	15.22955	60.49629	1.28503	0	0	85.06311	0	0	0	0	1.56476	17.11222	0	56.85508	15.17466	44.20617	0	11.86207	0	44.14528	24.82489	0	49.90204	47.55687	5.50551	2.59719	2.88762
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0	0	0	0.32104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0	0	0	0	0	0	0	0.00387	0	0	0	0	0	0.31506	0	0	0.0148	0	0	0	0.41775	0	0	0	0	0	0	0	0	0	0	0.00599	0	0	0	0	0	0.00287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22984	0	0	0	0.00443	0.00137
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus|s__Tobacco_mild_green_mosaic_virus|t__PRJNA14671	0	0	14.63083	98.19446	9.23346	4.20173	0	0	0	0	0	0	0	0	0	2.06216	0	0	0	0	3.41097	0	0	0	22.04386	0.75734	16.22335	0	0	0	0	0	0	0	0	0	5.74061	0	0	0	0	0	0	0	0	0	0	0.95319	0	0	0	0	0	0	2.558	0	0	0	0	0	0	0	0	0	0	0	0	1.09703	5.83368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08367	0.94308	0.39461	0	11.65956	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	24.87968	23.85936	17.16418	1.20037	33.89171	15.61144	0.03724	0.57561	26.63259	66.10111	14.83677	0.50782	64.11668	13.36929	21.07357	24.43971	48.36813	70.35007	90.44398	8.86519	23.01945	4.05336	75.39727	0.12243	12.07944	1.091	6.36449	0.82682	54.95995	0.39863	1.1829	57.196	4.12069	28.84145	11.6385	0	0	2.25391	74.77244	66.00513	37.12183	66.58579	54.42978	0.73842	68.48333	85.95773	79.69247	0.46075	0	47.46601	36.20253	24.37211	52.58312	62.8094	7.38114	14.90021	60.11304	9.54006	65.67959	79.03116	3.59423	56.98259	14.03624	23.13916	63.80335	50.73517	12.98572	2.38953	27.08851	52.43241	0	1.72453	0.08597	10.40163	29.18075	85.90736	83.89446	21.60391	2.28165	29.72618	0.08449	4.68003	60.46016	67.16073	68.00357	42.56822	64.68814	57.97548	21.18029	23.18255	10.04501	40.36267	0.01486
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola|t__GCF_000154845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34165	0	0	0	0	4.91363	0	0	0	0	0
